Date,Price
11/02/1997,3285.0
11/09/1997,3465.0
11/16/1997,3565.0
11/23/1997,3660.0
11/30/1997,3995.0
12/07/1997,5150.0
12/14/1997,5100.0
12/21/1997,5150.0
12/28/1997,6050.0
01/04/1998,9200.0
01/11/1998,8550.0
01/18/1998,15175.0
01/25/1998,10050.0
02/01/1998,9750.0
02/08/1998,9050.0
02/15/1998,8950.0
02/22/1998,8950.0
03/01/1998,10800.0
03/08/1998,9650.0
03/15/1998,9500.0
03/22/1998,8400.0
03/29/1998,8750.0
04/05/1998,7800.0
04/12/1998,8125.0
04/19/1998,7950.0
04/26/1998,8075.0
05/03/1998,9300.0
05/10/1998,10700.0
05/17/1998,11850.0
05/24/1998,11450.0
05/31/1998,11700.0
06/07/1998,14300.0
06/14/1998,14200.0
06/21/1998,14950.0
06/28/1998,14600.0
07/05/1998,15350.0
07/12/1998,13450.0
07/19/1998,14050.0
07/26/1998,13150.0
08/02/1998,13050.0
08/09/1998,12925.0
08/16/1998,11750.0
08/23/1998,11200.0
08/30/1998,11100.0
09/06/1998,11750.0
09/13/1998,11300.0
09/20/1998,10850.0
09/27/1998,10750.0
10/04/1998,9350.0
10/11/1998,8100.0
10/18/1998,8050.0
10/25/1998,7600.0
11/01/1998,8200.0
11/08/1998,7800.0
11/15/1998,7350.0
11/22/1998,7325.0
11/29/1998,7550.0
12/06/1998,7450.0
12/13/1998,7775.0
12/20/1998,7850.0
12/27/1998,8000.0
01/03/1999,7975.0
01/10/1999,8475.0
01/17/1999,8875.0
01/24/1999,8850.0
01/31/1999,8750.0
02/07/1999,8700.0
02/14/1999,8875.0
02/21/1999,8800.0
02/28/1999,8885.0
03/07/1999,9175.0
03/14/1999,8887.5
03/21/1999,8900.0
03/28/1999,8600.0
04/04/1999,8700.0
04/11/1999,8650.0
04/18/1999,8575.0
04/25/1999,8017.5
05/02/1999,7750.0
05/09/1999,7875.0
05/16/1999,8150.0
05/23/1999,8120.0
05/30/1999,7995.0
06/06/1999,7700.0
06/13/1999,7275.0
06/20/1999,6750.0
06/27/1999,6830.0
07/04/1999,6645.0
07/11/1999,6700.0
07/18/1999,6950.0
07/25/1999,6880.0
08/01/1999,7045.0
08/08/1999,7915.0
08/15/1999,7450.0
08/22/1999,7630.0
08/29/1999,7900.0
09/05/1999,8200.0
09/12/1999,8235.0
09/19/1999,8620.0
09/26/1999,7965.0
10/03/1999,7737.5
10/10/1999,7950.0
10/17/1999,6912.5
10/24/1999,6825.0
10/31/1999,6850.0
11/07/1999,7055.0
11/14/1999,7000.0
11/21/1999,7210.0
11/28/1999,7245.0
12/05/1999,7240.0
12/12/1999,7075.0
12/19/1999,6995.0
12/26/1999,6987.5
01/02/2000,7155.0
01/09/2000,7185.0
01/16/2000,7340.0
01/23/2000,7450.0
01/30/2000,7550.0
02/06/2000,7300.0
02/13/2000,7425.0
02/20/2000,7370.0
02/27/2000,7465.0
03/05/2000,7365.0
03/12/2000,7460.0
03/19/2000,7465.0
03/26/2000,7570.0
04/02/2000,7665.0
04/09/2000,7625.0
04/16/2000,7965.0
04/23/2000,7925.0
04/30/2000,7960.0
05/07/2000,8425.0
05/14/2000,8365.0
05/21/2000,8520.0
05/28/2000,8325.0
06/04/2000,8635.0
06/11/2000,8615.0
06/18/2000,8695.0
06/25/2000,8760.0
07/02/2000,9315.0
07/09/2000,9515.0
07/16/2000,8925.0
07/23/2000,8950.0
07/30/2000,8620.0
08/06/2000,8285.0
08/13/2000,8355.0
08/20/2000,8355.0
08/27/2000,8300.0
09/03/2000,8390.0
09/10/2000,8745.0
09/17/2000,8805.0
09/24/2000,8760.0
10/01/2000,8805.0
10/08/2000,8905.0
10/15/2000,8937.5
10/22/2000,9140.0
10/29/2000,9175.0
11/05/2000,9225.0
11/12/2000,9460.0
11/19/2000,9455.0
11/26/2000,9505.0
12/03/2000,9550.0
12/10/2000,9355.0
12/17/2000,9287.5
12/24/2000,9675.0
12/31/2000,9507.5
01/07/2001,9610.0
01/14/2001,9475.0
01/21/2001,9425.0
01/28/2001,9550.0
02/04/2001,9625.0
02/11/2001,9651.0
02/18/2001,9660.0
02/25/2001,9875.0
03/04/2001,10155.0
03/11/2001,10315.0
03/18/2001,10385.0
03/25/2001,10417.5
04/01/2001,10845.0
04/08/2001,10612.5
04/15/2001,11775.0
04/22/2001,11850.0
04/29/2001,10950.0
05/06/2001,11277.5
05/13/2001,11375.0
05/20/2001,11455.0
05/27/2001,11450.0
06/03/2001,11212.5
06/10/2001,11260.0
06/17/2001,11355.0
06/24/2001,11390.0
07/01/2001,11330.0
07/08/2001,11330.0
07/15/2001,11140.0
07/22/2001,10050.0
07/29/2001,9515.0
08/05/2001,9110.0
08/12/2001,8750.0
08/19/2001,8695.0
08/26/2001,8862.5
09/02/2001,9150.0
09/09/2001,9110.0
09/16/2001,9415.0
09/23/2001,9707.5
09/30/2001,9865.0
10/07/2001,9970.0
10/14/2001,10090.0
10/21/2001,10260.0
10/28/2001,10675.0
11/04/2001,10410.0
11/11/2001,10635.0
11/18/2001,10495.0
11/25/2001,10465.0
12/02/2001,10365.0
12/09/2001,10195.0
12/16/2001,10160.0
12/23/2001,10475.0
12/30/2001,10415.0
01/06/2002,10431.0
01/13/2002,10395.5
01/20/2002,10435.0
01/27/2002,10325.0
02/03/2002,10250.0
02/10/2002,10247.0
02/17/2002,10215.0
02/24/2002,10100.0
03/03/2002,10015.0
03/10/2002,9995.0
03/17/2002,9825.0
03/24/2002,9825.0
03/31/2002,9550.0
04/07/2002,9545.0
04/14/2002,9351.5
04/21/2002,9305.0
04/28/2002,9310.0
05/05/2002,9285.0
05/12/2002,9090.0
05/19/2002,8957.5
05/26/2002,8697.5
06/02/2002,8875.0
06/09/2002,8660.0
06/16/2002,8630.0
06/23/2002,8713.0
06/30/2002,8860.0
07/07/2002,9075.0
07/14/2002,8775.0
07/21/2002,9150.0
07/28/2002,9075.0
08/04/2002,9002.5
08/11/2002,8815.0
08/18/2002,8887.5
08/25/2002,8855.0
09/01/2002,8870.0
09/08/2002,8975.0
09/15/2002,9032.5
09/22/2002,9017.5
09/29/2002,9014.5
10/06/2002,9007.0
10/13/2002,9214.0
10/20/2002,9240.0
10/27/2002,9225.0
11/03/2002,9193.0
11/10/2002,9027.0
11/17/2002,8985.0
11/24/2002,8977.5
12/01/2002,8990.0
12/08/2002,8875.0
12/15/2002,8888.0
12/22/2002,8917.5
12/29/2002,8927.5
01/05/2003,8917.5
01/12/2003,8870.0
01/19/2003,8892.5
01/26/2003,8870.0
02/02/2003,8868.5
02/09/2003,8920.0
02/16/2003,8915.5
02/23/2003,8883.5
03/02/2003,8885.0
03/09/2003,8917.5
03/16/2003,8972.5
03/23/2003,8912.5
03/30/2003,8892.5
04/06/2003,8877.5
04/13/2003,8725.0
04/20/2003,8740.0
04/27/2003,8660.5
05/04/2003,8560.0
05/11/2003,8460.0
05/18/2003,8270.0
05/25/2003,8310.0
06/01/2003,8175.0
06/08/2003,8215.0
06/15/2003,8225.0
06/22/2003,8275.0
06/29/2003,8183.0
07/06/2003,8215.0
07/13/2003,8330.0
07/20/2003,8505.0
07/27/2003,8540.0
08/03/2003,8563.0
